eventId,name,sequence,qrPayload,frontAsset,qrAsset,eventSubtitle,eventDescription,printedTextValidated,printedRuleStatus,engineImplementationStatus,effectClassification,parsedEffect,requiresPlayerScan,requiresPropertyScan,extractionStatus,notes
EVT_11,Love Is In The Air,11,MUB:E:E11,Resources/Cards/EventCards/Love_Is_In_The_Air_Front.png,Resources/Cards/EventCards/E11_Love_Is_In_The_Air_Back_QR.png,Meet someone special right up your street!,Pick another player. Tap this card then both your Bank cards to collect M200.,True,RESOLVED,COMPLETE,"[""MONEY_GAIN"", ""SELECT_PLAYER"", ""AFFECT_ALL_PLAYERS""]","{""action"": ""CREDIT_BOTH_PLAYERS"", ""amount"": 200, ""target"": ""CURRENT_PLAYER_AND_CHOSEN_PLAYER"", ""parameters"": {}}",True,False,COMPLETE,Both players receive 200. Requires two player card scans.
EVT_12,On The Map,12,MUB:E:E12,Resources/Cards/EventCards/On_The_Map_Front.png,Resources/Cards/EventCards/E12_On_The_Map_Back_QR.png,The new railway station gets the go-ahead!,Tap this card then one of your property cards. (Colour set rent level jumps +1),True,RESOLVED,COMPLETE,"[""PROPERTY_RENT_INCREASE"", ""SELECT_PROPERTY"", ""AFFECT_PROPERTY""]","{""action"": ""INCREASE_COLOR_SET_RENT_LEVEL"", ""amount"": 1, ""target"": ""OWNED_PROPERTY"", ""parameters"": {""scope"": ""COLOR_SET""}}",False,True,COMPLETE,
EVT_13,On The Run,13,MUB:E:E13,Resources/Cards/EventCards/On_The_Run_Front.png,Resources/Cards/EventCards/E13_On_The_Run_Back_QR.png,The summer marathon shuts down the roads!,Tap this card. (Players pay level 1 rent only for the next two rent payments),True,RESOLVED,NEEDS_REVIEW,"[""SPECIAL_RULE"", ""AFFECT_ALL_PLAYERS""]","{""action"": ""TEMPORARY_RENT_CAP"", ""amount"": 1, ""target"": ""ALL_PLAYERS"", ""parameters"": {""durationRentPayments"": 2, ""maxRentLevel"": 1}}",False,False,NEEDS_REVIEW,Printed rule confirmed. Engine tracking for 'next two rent payments' not yet defined.
EVT_14,Pick Your Own,14,MUB:E:E14,Resources/Cards/EventCards/Pick_Your_Own_Front.png,Resources/Cards/EventCards/E14_Pick_Your_Own_Back_QR.png,Catch someone stealing your prize tomatoes!,Tap this card and send another player to Jail.,True,RESOLVED,COMPLETE,"[""GO_TO_JAIL"", ""SELECT_PLAYER""]","{""action"": ""SEND_PLAYER_TO_JAIL"", ""amount"": null, ""target"": ""OTHER_PLAYER"", ""parameters"": {}}",True,False,COMPLETE,
EVT_15,Pong! What A Stinker,15,MUB:E:E15,Resources/Cards/EventCards/Pong_What_A_Stinker_Front.png,Resources/Cards/EventCards/E15_Pong_What_A_Stinker_Back_QR.png,The local sewer springs a leak!,Tap this card then one of your property cards. (Rent level drops -1 for that side of the board),True,RESOLVED,NEEDS_REVIEW,"[""PROPERTY_RENT_DECREASE"", ""SELECT_PROPERTY"", ""AFFECT_MULTIPLE_PROPERTIES""]","{""action"": ""TO_BE_CONFIRMED"", ""amount"": -1, ""target"": ""BOARD_SIDE"", ""parameters"": {""determinedByScannedProperty"": true}}",False,True,NEEDS_REVIEW,Printed rule confirmed. Engine semantics for 'that side of the board' not yet defined.
EVT_16,Rover's Revenge,16,MUB:E:E16,Resources/Cards/EventCards/Rovers_Revenge_Front.png,Resources/Cards/EventCards/E16_Rovers_Revenge_Back_QR.png,Your pet pooch poops on someone's patio!,Tap this card then any property card. (Rent level resets to 1),True,RESOLVED,COMPLETE,"[""PROPERTY_RENT_DECREASE"", ""SELECT_PROPERTY"", ""AFFECT_PROPERTY""]","{""action"": ""RESET_PROPERTY_RENT_LEVEL"", ""amount"": 1, ""target"": ""ANY_PROPERTY"", ""parameters"": {}}",False,True,COMPLETE,
EVT_17,Stargazing,17,MUB:E:E17,Resources/Cards/EventCards/Stargazing_Front.png,Resources/Cards/EventCards/E17_Stargazing_Back_QR.png,The hottest A-list celebrity moves in next door!,Tap this card then one of your property cards. (Colour set rent level jumps +1),True,RESOLVED,COMPLETE,"[""PROPERTY_RENT_INCREASE"", ""SELECT_PROPERTY"", ""AFFECT_PROPERTY""]","{""action"": ""INCREASE_COLOR_SET_RENT_LEVEL"", ""amount"": 1, ""target"": ""OWNED_PROPERTY"", ""parameters"": {""scope"": ""COLOR_SET""}}",False,True,COMPLETE,
EVT_18,Stop The Presses,18,MUB:E:E18,Resources/Cards/EventCards/Stop_The_Presses_Front.png,Resources/Cards/EventCards/E18_Stop_The_Presses_Back_QR.png,Get the lowdown on a hot property!,"Move to any property space. Tap this card then the property card to buy it, auction it or raise rent level +1.",True,RESOLVED,COMPLETE,"[""MOVE_PLAYER"", ""SELECT_PROPERTY"", ""SPECIAL_RULE""]","{""action"": ""MOVE_THEN_PROPERTY_CHOICE"", ""amount"": 1, ""target"": ""SELECTED_PROPERTY"", ""parameters"": {""choices"": [""BUY"", ""AUCTION"", ""RAISE_RENT_LEVEL""]}}",False,True,COMPLETE,
EVT_19,'Tis The Season,19,MUB:E:E19,Resources/Cards/EventCards/Tis_The_Season_Front.png,Resources/Cards/EventCards/E19_Tis_The_Season_Back_QR.png,You've caught that nasty cough going around!,Tap this card then one of your property cards. (Colour set rent level drops -1),True,RESOLVED,COMPLETE,"[""PROPERTY_RENT_DECREASE"", ""SELECT_PROPERTY"", ""AFFECT_PROPERTY""]","{""action"": ""DECREASE_COLOR_SET_RENT_LEVEL"", ""amount"": 1, ""target"": ""OWNED_PROPERTY"", ""parameters"": {""scope"": ""COLOR_SET""}}",False,True,COMPLETE,
EVT_20,Tornado Alley,20,MUB:E:E20,Resources/Cards/EventCards/Tornado_Alley_Front.png,Resources/Cards/EventCards/E20_Tornado_Alley_Back_QR.png,"Hey, where did the roof go?",Tap this card then any property card. (Rent level resets to 1),True,RESOLVED,COMPLETE,"[""PROPERTY_RENT_DECREASE"", ""SELECT_PROPERTY"", ""AFFECT_PROPERTY""]","{""action"": ""RESET_PROPERTY_RENT_LEVEL"", ""amount"": 1, ""target"": ""ANY_PROPERTY"", ""parameters"": {}}",False,True,COMPLETE,
EVT_21,Total Gridlock,21,MUB:E:E21,Resources/Cards/EventCards/Total_Gridlock_Front.png,Resources/Cards/EventCards/E21_Total_Gridlock_Back_QR.png,Faulty traffic lights get the street in a jam!,"Tap this card and all players move directly to Free Parking. Do not pass GO! If you are in Jail, stay there!",True,RESOLVED,NEEDS_REVIEW,"[""MOVE_PLAYER"", ""AFFECT_ALL_PLAYERS"", ""SPECIAL_RULE""]","{""action"": ""MOVE_ALL_TO_FREE_PARKING"", ""amount"": null, ""target"": ""ALL_PLAYERS"", ""parameters"": {""passGo"": false, ""jailPlayersRemain"": true}}",False,False,NEEDS_REVIEW,"Printed rule confirmed. Version 1: physical board/tokens remain authoritative for position; app displays instruction, blocks GO payment, preserves Jail state, and players manually move eligible tokens to Free Parking. No digital board movement."
EVT_22,What A Ride!,22,MUB:E:E22,Resources/Cards/EventCards/What_A_Ride_Front.png,Resources/Cards/EventCards/E22_What_A_Ride_Back_QR.png,Your local theme park builds the world's craziest roller-coaster!,Tap this card then one of your property cards. (Rent level jumps +1 for that side of the board),True,RESOLVED,NEEDS_REVIEW,"[""PROPERTY_RENT_INCREASE"", ""SELECT_PROPERTY"", ""AFFECT_MULTIPLE_PROPERTIES""]","{""action"": ""TO_BE_CONFIRMED"", ""amount"": 1, ""target"": ""BOARD_SIDE"", ""parameters"": {""determinedByScannedProperty"": true}}",False,True,NEEDS_REVIEW,Printed rule confirmed. Engine semantics for 'that side of the board' not yet defined.
EVT_23,Wibble Wobble,23,MUB:E:E23,Resources/Cards/EventCards/Wibble_Wobble_Front.png,Resources/Cards/EventCards/E23_Wibble_Wobble_Back_QR.png,Sit in a bath of jelly with a friend for charity!,Pick another player. Tap this card then both your Bank cards to collect M200.,True,RESOLVED,COMPLETE,"[""MONEY_GAIN"", ""SELECT_PLAYER"", ""AFFECT_ALL_PLAYERS""]","{""action"": ""CREDIT_BOTH_PLAYERS"", ""amount"": 200, ""target"": ""CURRENT_PLAYER_AND_CHOSEN_PLAYER"", ""parameters"": {}}",True,False,COMPLETE,Both players receive 200. Requires two player card scans.
